,Movie_id,Preformer,Gender
735,746422,Riccardo Scamarcio,2
736,614911,George Clooney,2
737,701175,Mario Casas,2
738,73835,Enrico Montesano,2
739,626393,Joanna Herrington,1
740,141210,Josh Feldman,0
741,667424,,
742,764091,Sumner Codd,0
743,70588,Claire Sloma,1
744,806514,J. Bone-Christian,0
745,567971,Jaden Michael,2
746,810731,Belinda Lane,0
747,699102,Bailee Madison,1
748,694256,Elvira Camarrone,0
749,449755,Eliza Taylor,1
750,737802,Natalia Coronado,0
751,81428,Vespa Vasic,0
752,485504,Luke Grimes,2
753,483202,Charlie Shotwell,2
754,20504,Denzel Washington,2
755,655872,Nate Milton,0
756,767628,Max Badin,0
757,217243,Heidemarie Theobald,0
758,78342,Lior Ashkenazi,2
759,449637,,
760,808333,,
761,696611,,
762,485095,,
763,253415,Sonja Wigert,1
764,479405,Ali Hussain,0
765,495904,Türkan Şoray,1
766,169385,Dianne Butler,0
767,821457,Onur Yıldız,2
768,217407,Eila Peitsalo,1
769,280129,Cliff Robertson,2
770,794732,Gustav Turefeldt,2
771,526280,Anneli Sauli,1
772,493309,Eli Porter,0
773,744676,Yami Gautam,1
774,602609,Tiya Sircar,1
775,108256,Gary Cooper,2
776,3011,Jack Lemmon,2
777,380830,Sami Bouajila,2
778,642652,Toby Hemingway,2
779,744013,Kourtney Bell,1
780,799682,,
781,63731,,
782,816791,Jesper Eliasson,0
783,252805,Kiyoshi Atsumi,2
784,481889,Storm Steenson,1
785,59308,Duff Clawson,0
786,481074,Alexa Reddy,0
787,799314,Jake Lawler,0
788,560477,Sophia Eleni,0
789,693163,Charlie Aligaen,0
790,240916,Samuel L. Jackson,2
791,9399,Jean-Claude Van Damme,2
792,543774,Genevieve Nnaji,1
793,78028,Eric Stoltz,2
794,399993,Robert Dean,2
795,362230,Valeri Alessandro,0
796,188357,Malcolm McDowell,2
797,136429,Derek Lea,2
798,319721,,
799,721152,,
800,11291,Staffan Götestam,2
801,187717,Renato Salvatori,2
802,567474,,
803,727288,Wallace Beery,2
804,37945,Glenn Close,1
805,346671,Adam Scott,2
806,251384,Tom Alexander,0
807,701277,Piper Collins,0
808,253117,Jamison Selby,0
809,381317,Sharon Cuneta,1
810,294532,,
811,679063,,
812,486468,Elita Kļaviņa,1
813,44783,Patricia Ree Gilbert ,0
814,131871,Damon Albarn,2
815,369333,,
816,418897,Swastika Mukherjee,0
817,30625,William Powell,2
818,724684,Wakefield Poole,2
819,309962,,
820,425203,Adam Green,2
821,567645,林志炫,0
822,476994,Susannah York,1
823,395919,Mick Garris,2
824,51304,Axwell,2
825,101597,Pawarith Monkolpisit,2
826,434545,,
827,281619,Ellen Sandweiss,1
828,561230,Ruth Bader Ginsburg,1
829,531503,Anthony Mackie,2
830,26039,Lee Marvin,2
831,56125,Mickey Rourke,2
832,785582,,
833,667304,,
834,61404,Gilles Lellouche,2
835,385498,Tom Schilling,2
836,8743,Sofia Helin,1
837,142096,Roschdy Zem,2
838,9434,John Cusack,2
839,118281,Malin Crépin,1
840,745078,Bartosz Bielenia,2
841,185849,Leticia Dolera,1
842,657479,Aarni Kivinen,0
843,553866,,
844,761380,,
845,832698,,
846,98177,Jo Ann LeCompte,0
847,379571,,
848,389053,Adam Sandler,2
849,502970,Nicole Gale Anderson,1
850,555850,Kat Graham,1
851,520663,Amy Adams,1
852,17136,Edward G. Robinson,2
853,299068,Irina Muravyova,1
854,717523,,
855,582596,David Spade,2
856,463684,Jake Gyllenhaal,2
857,638597,Jennifer Garner,1
858,813387,Ziad Bourji,2
859,585836,Rahul Pethe,0
860,318242,,
861,787744,Jamie Loftus,0
862,215015,Mammootty,2
863,768520,Lorynn York,1
864,483104,Rose McIver,1
865,587693,Rose McIver,1
866,525041,Rose McIver,1
867,488063,Alexis Knapp,1
868,652776,Shein Mompremier,1
869,492335,Nicole Muñoz,1
870,530956,Ashton Sanders,2
871,328943,,
872,725906,Ross Lynch,2
873,622963,Kerry Washington,1
874,22819,Nick Cannon,2
875,672866,Russell Crowe,2
876,430038,Yuji Okumoto,2
877,272244,,
878,275791,,
879,311802,,
880,256074,Carina Lau,1
881,205973,Rod Stewart,2
882,415932,Patina Miller,1
883,801893,Fred Astaire,2
884,342245,,
885,3175,Ryan O'Neal,2
886,397717,Devon Terrell,2
887,249923,Tyler Labine,2
888,44594,Patrick Wilson,2
889,718558,Gary Green,0
890,147356,Pierre Fresnay,2
891,488669,Todd Barry,2
892,632690,Matt Dillon,2
893,61974,Barry Shurchin,0
894,43508,Red Skelton,2
895,422563,Pete Gardner,2
896,793540,,
897,119433,Todd Barry,2
898,786017,Audrey Rumsby,0
899,265493,Barry Hilton,0
900,68182,Cheick Kongo,2
901,253026,Buster Crabbe,2
902,24084,Barry Crocker,0
903,726999,Gary Green,0
904,774958,Jordan Hale,0
905,507143,Sami Gayle,1
906,706783,Saiyami Kher,1
907,730428,Bobby Deol,2
908,429415,Michael Peña,2
909,91314,Mark Wahlberg,2
910,338676,Matthew Fox,2
911,300792,Elon Musk,2
912,279988,Ben Loyd-Holmes,2
913,7737,Milla Jovovich,1
914,539765,Rob Stewart,2
915,701369,Luke Hobson,2
916,742637,David Attenborough,2
917,79721,Daniel Buder,2
918,745075,Helen Mirren,1
919,737943,John Hume,0
920,551918,Eric Szmanda,2
921,815240,Michael Urie,2
922,714900,James Bell,0
923,708227,,
924,704221,,
925,835802,Gabe V.,0
926,658662,,
927,223936,Dave Mustaine,2
928,451563,Noël Wells,1
929,178614,Lucille Ball,1
930,824297,Namit Das,0
931,59846,David Niven,2
932,652789,,
933,368155,Roger Moore,2
934,139592,Pierre Étaix,2
935,252242,,
936,823855,Erica Wessels,1
937,295151,Joan Cusack,1
938,240906,Candace Cameron Bure,1
939,720395,Ivanna Sakhno,1
940,750047,,
941,361824,,
942,443401,Lucien Jean-Baptiste,2
943,47596,Kipp Marcus,0
944,333348,Steve Martin,2
945,368993,Zach Woods,2
946,40774,Jordan Prentice,2
947,10288,Billy Connolly,2
948,493854,,
949,459159,Asher Blinkoff,0
950,298911,,
951,29879,Shirley Temple,1
952,52699,Jason Dolley,2
953,229407,Pierre Coffin,2
954,412117,Patton Oswalt,2
955,509730,Rusty Shackleford,0
956,328111,Albert Brooks,2
957,738646,Kat Graham,1
958,494950,Rishi Kapoor,2
959,180576,Albert Finney,2
960,656563,Danilo Mesquita,2
961,678403,Wendie Malick,1
962,658751,David Kross,2
