,title,run_t
633,Sniper Special Ops,86
634,The Sex Trip,90
635,Braking for Whales,103
636,The Front Page,105
637,Dominion,117
638,Temptation: Confessions of a Marriage Counselor,111
639,Clementine,90
640,The Wings of the Dove,102
641,Luna,142
642,The Boogey Man,82
643,The Uninvited,99
644,Becket,148
645,Extreme Prejudice,96
646,Cooley High,107
647,Jeffrey,92
648,Spaghettiman,87
649,Unknown,85
650,Christmas with the Kranks,99
651,Charley Varrick,111
652,My Favorite Wife,88
653,Dead 7,89
654,Money Talks,97
655,Casa de mi Padre,
656,Good People,90
657,Sierra,83
658,Camp,114
659,Club Paradise,96
660,The Nowhere Inn,91
661,Raise the Titanic,115
662,Anatomy of a Love Seen,80
663,Struck by Lightning,90
664,The Secret of Moonacre,103
665,The Meddler,103
666,Ski Patrol,91
667,Sir Billi,76
668,Let's Scare Jessica to Death,89
669,The Road Within,100
670,Silent Rage,96
671,Sullivan's Travels,90
672,Blackbeard's Ghost,106
673,The Wackness,99
674,Only,98
675,Keeping Mum,99
676,Shangri-La Suite,90
677,The Enemy Below,98
678,The Weight of Water,114
679,Monkey Trouble,96
680,Raze,87
681,The Quiet American,101
682,Angel Eyes,102
683,Angus,90
684,The Astronaut Farmer,104
685,Begotten,72
686,The Contender,126
687,The Plague Dogs,103
688,Everything Beautiful Is Far Away,91
689,Cookie's Fortune,118
690,The Yakuza,112
691,The Unicorn,88
692,The City of Gold,
693,Killer Workout,85
694,Skinwalkers,110
695,Othello,123
696,Inside the Rain,90
697,Wedding Daze,90
698,I Hope They Serve Beer in Hell,105
699,Lowriders,98
700,Permanent,93
701,Stag,91
702,Dead Night,86
703,The Grudge 3,90
704,The Corruptor,110
705,The Keeping Hours,
706,Rock Dog,90
707,Eating Out,90
708,The Angriest Man in Brooklyn,83
709,Fresh,114
710,That Cold Day in the Park,113
711,Red Riding Hood,82
712,Mafia!,87
713,Welcome to Mooseport,110
714,The Mortuary Collection,108
715,Cross 3,100
716,Dreamer: Inspired by a True Story,106
717,52 Pick-Up,110
718,The Lovers,97
719,Arthur Christmas,97
720,Vacancy 2: The First Cut,86
721,The Humbling,112
722,Tom Horn,98
723,12 Rounds 3: Lockdown,90
724,Bye Bye Love,106
725,Adulterers,91
726,Enemy Gold,92
727,The Children,93
728,The Serpent's Egg,119
729,Peyton Place,157
730,The Raven,86
731,Wind Chill,91
732,De-Lovely,125
733,Woodshock,100
734,The Men,85
735,The Invisible Maniac,86
736,Barely Legal,
737,Return to Zootopia,120
738,To End All Wars,125
739,Madman,88
740,The Driller Killer,96
741,Luther,123
742,The Bedroom Window,112
743,Spare Parts,114
744,Bikini Valley Car Wash,95
745,Hell and Back,
746,Kill Switch,91
747,Art School Confidential,102
748,Some Came Running,137
749,Red Corner,122
750,Made in America,111
751,The Comebacks,107
752,Graduation Day,96
753,In Like Flint,114
754,Sugar Mountain,106
755,My Fellow Americans,101
756,The Pirates of Penzance,112
757,Quicksilver,105
758,Cougar Club,97
759,Swing Shift,100
760,Paris When It Sizzles,110
761,The Rapture,100
762,Superfast!,99
763,Terry and the Pirates,
764,Simon Sez,85
765,Boiling Point,92
766,College Road Trip,83
767,Kid Cannabis,110
768,Death in Love,97
769,Murphy's Romance,107
770,Survival Island,
771,Daddy Day Camp,89
772,Viva,120
773,"Move Over, Darling",103
774,See You in Valhalla,82
775,Ghost House,89
776,SubUrbia,121
777,Last Days in the Desert,98
778,The Spook Who Sat by the Door,102
779,Cat Chaser,90
780,Me and Orson Welles,114
781,Demon Wind,96
782,Lost Horizon,132
783,The Protector,91
784,The Last Vermeer,117
785,Darkness,88
786,B*A*P*S,91
787,Brotherly Love,89
788,Tom Sawyer,103
789,Hot Pursuit,93
790,The Perfect Match,96
791,Supercon,100
792,A Midsummer Night's Sex Comedy,88
793,China Moon,99
794,Sweet Dreams,115
795,It Runs in the Family,
796,Surf Nazis Must Die,80
797,Alpha and Omega,90
798,The Free World,100
799,Alex of Venice,86
800,Prescription for Love,89
801,Girl,99
802,City by the Sea,108
803,Love Is Strange,94
804,As You Like It,127
805,No Way Out,106
806,Beyond the Sea,118
807,Broken Vows,90
808,Saving Christmas,79
809,Mr 3000,104
810,Dead Awake,99
811,The Chamber,113
812,See Spot Run,94
813,Reform School Girls,94
814,Spellbinder,99
815,Butterflies Are Free,109
816,Testament,90
817,Breaking and Entering,120
818,The Island,109
819,The Rocket,89
820,The Great White Hype,91
821,Shopgirl,106
822,Bachelor Night,88
823,Sunflower,107
824,Ganja & Hess,110
825,Seven in Heaven,94
826,Home of the Brave,106
827,Fatal Instinct,91
828,Flesh and Bone,126
829,The Flame and the Arrow,88
830,Two Evil Eyes,120
831,Serving Sara,
832,8 Million Ways to Die,115
833,Beneath,90
834,Is Paris Burning?,175
835,Swing Vote,120
836,The Pride of the Yankees,128
837,All We Had,105
838,Against the Sun,100
839,The Marine 6: Close Quarters,85
840,Goodbye World,99
841,The Grand Son,78
842,Five Graves to Cairo,96
843,The Zodiac,97
844,American Skin,89
845,Under the Rainbow,98
846,Date with an Angel,105
847,Wiener-Dog,88
848,The Pom Pom Girls,89
849,Destricted,116
850,Dudes & Dragons,122
851,Flesh for Frankenstein,95
852,Confidence,97
853,Our Family Wedding,
854,Taras Bulba,122
855,Witchboard,98
856,The Prize,134
857,'Doc',96
858,Digging Up the Marrow,89
859,The Swan,104
860,Blood Games,90
861,Down in the Delta,112
862,Remains,88
863,Izzy Gets the F*ck Across Town,86
864,Bloodline,117
865,Eddie,100
866,Angry Video Game Nerd: The Movie,115
867,Raw Force,86
868,A New Leaf,102
869,Road to Paloma,91
870,The Challenger Disaster,98
871,Blood and Wine,101
872,Attack of the 50 Foot Cheerleader,83
873,Dream Boy,90
874,Remember Me,88
875,Opening Night,90
876,Let's Kill Ward's Wife,82
877,At Middleton,99
878,Run the Tide,97
