Title,Language
Rapid Fire,English
Rapid Fire,Cantonese
Mob Town,English
King Kong vs. Godzilla,Japanese
King Kong vs. Godzilla,English
The Muppets Take Manhattan,English
UFO,English
3 Ninjas Kick Back,English
Carbon Copy,English
Carbon Copy,Spanish
Wer,English
Wer,French
Hell to Eternity,English
Hell to Eternity,Japanese
Sex and the Single Girl,English
Wild Bill,English
Wild Bill,Sioux
Wild Bill,Cantonese
Bordertown,English
Bordertown,Spanish
Bordertown,Central American Indian languages
Out of Blue,English
Riot,English
You Might Be the Killer,English
The War,English
4 for Texas,English
One Night Stand,English
Barbershop: The Next Cut,English
The Dawn,English
Only Angels Have Wings,English
Only Angels Have Wings,Spanish
The Adderall Diaries,Spanish
The Adderall Diaries,English
Camelot,English
Canadian Bacon,English
The Adventures of Pinocchio,English
The Serpent and the Rainbow,English
The Serpent and the Rainbow,French
The Serpent and the Rainbow,Spanish
The Dallas Connection,English
Primal: Tales of Savagery,English
Primal: Tales of Savagery,None
Flipper,English
Lilies of the Field,English
Lilies of the Field,German
Lilies of the Field,Spanish
My Blue Heaven,English
Chatterbox!,English
The Winslow Boy,English
The Presidio,English
Man of the House,English
Crying Freeman,English
Crying Freeman,Japanese
The Order,English
The Order,Syriac
The Order,Aramaic
The Order,Italian
The Order,Latin
The War Boys,English
The War Boys,Spanish
Georgetown,English
In a Relationship,English
Highway to Hell,English
Undertow,English
+1,English
Son of Bigfoot,English
Freak Show,English
Black Widow,English
8 Seconds,English
Anything Else,English
Anything Else,Latin
A Champion Heart,English
Losing Isaiah,English
Marmaduke,English
Miracle Mile,English
"Run, Fat Boy, Run",English
Don't Think Twice,English
"Peace, Love & Misunderstanding",English
Remember the Daze,English
Just Visiting,English
Just Visiting,French
The Masque of the Red Death,English
The Masque of the Red Death,Latin
The Search for One-eye Jimmy,English
1985,English
Beyond the Sky,English
Sniper Special Ops,English
The Sex Trip,English
Braking for Whales,English
The Front Page,English
Dominion,English
Temptation: Confessions of a Marriage Counselor,English
Clementine,English
The Wings of the Dove,English
Luna,Italian
Luna,English
The Boogey Man,English
