Performer,Metascore
Akemi Negishi,40.0
Akende Munalula,17.0
Akhil Jackson,45.0
Aki Avni,70.0
Akie Kotabe,34.666666666666664
Akihiko Hirata,50.0
Akihiro Kitamura,5.0
Akiko Iwase,45.333333333333336
Akiko Takeshita,89.0
Akiko Wakabayashi,51.5
Akil Walker,69.0
Akilas Karazisis,60.0
Akili Prince,42.0
Akim Tamiroff,74.66666666666667
Akimi Hamada,61.0
Akin Gazi,51.0
Akio Mitamura,57.0
Akira Akbar,64.0
Akira Ito,84.5
Akira Koieyama,44.0
Akira Takarada,60.0
Akira Takayama,63.0
Akira Yamaguchi,89.0
Akiva David,34.0
Akiva Goldsman,49.0
Akiva Schaffer,68.0
Akiyo Ikeda,61.0
Ako,41.0
Ako Yoshida,68.0
Akon,31.0
Akosua Busia,60.5
Akram El-Ahmar,59.0
Aksel Hennie,47.75
Akshay Kumar,44.0
Akshay Oberoi,46.0
Aku Orraca-Tetteh,75.0
Akushula Selayah,24.0
Al Ashton,80.0
Al Avalon,69.0
Al Bandiero,42.0
Al Bankston,80.0
Al Berkowitz,70.0
Al Berry,63.333333333333336
Al Bollands,48.0
Al Bowen,42.0
Al Brown,38.0
Al Burke,34.0
Al Calderon,43.0
Al Checco,46.0
Al Christy,73.0
Al Cingolani,72.0
Al Corley,64.0
Al Coronel,77.0
Al Dubinsky,64.0
Al Eben,20.0
Al Elliott,70.0
Al Ernest Garcia,95.0
Al Fann,60.5
Al Foster,70.0
Al Franken,54.0
Al Freeman Jr.,72.5
Al Garrison,29.0
Al Green,34.0
Al Hayter,34.0
Al Israel,61.0
Al Jirlkowic,49.0
Al Jolson,66.0
Al Kaplon,55.0
Al Kiggins,67.0
Al Lanti,53.0
Al LeBreton,54.0
Al Leong,47.0
Al Lettieri,70.0
Al Lewis,70.0
Al Linea,46.0
Al Liner,50.0
Al Madrigal,55.5
Al Maini,48.0
Al Mancini,66.0
Al Marchesi,25.0
Al Matthews,71.0
Al Michaels,38.0
Al Mitchell,39.5
Al Mukadam,60.5
Al Nazemian,41.666666666666664
Al Pacino,60.30952380952381
Al Palagonia,67.0
Al Rodrigo,52.0
Al Roker,69.5
Al Rossi,50.5
Al Ruban,57.5
Al Ruscio,42.333333333333336
Al Santos,36.0
Al Sapienza,41.875
Al Schuermann,53.0
Al Scott,80.5
Al Shannon,53.666666666666664
Al Shearer,41.333333333333336
Al Silvani,62.666666666666664
Al Sklar,9.0
Al Stevenson,48.0
Al Thomas,85.0
Al Thompson,39.285714285714285
Al Vandecruys,45.0
Al Vicente,61.0
Al Vrkljan,61.0
Al Waxman,74.0
Al Weaver,54.0
Al White,45.5
Al Whiting,41.0
Al-Jaleel Knox,46.0
Al-nisa Petty,60.0
Ala Dakka,49.0
Alaa Safi,72.0
Alaadin Khasawneh,56.0
Aladdin Ullah,71.5
Aladeen Tawfeek,67.0
Aladár Laklóth,55.0
Alain Ali Washnevsky,16.0
Alain Blazevic,33.0
Alain Chabat,53.4
Alain Delon,39.0
Alain Doutey,71.5
Alain Figlarz,45.0
Alain Moussi,45.5
Alain de Moyencourt,70.0
Alaina Huffman,60.0
Alaina Lauren Steinberg,40.0
Alaina Reed-Hall,56.0
Alakina Mann,73.0
Alan Ackles,18.0
Alan Aisenberg,54.5
Alan Alda,58.6
Alan Altshuld,62.0
Alan Amiel,35.0
Alan Archbold,65.0
Alan Arkin,56.73529411764706
Alan Autry,53.5
Alan B. Jones,51.5
Alan Barry,62.0
Alan Bates,60.0
Alan Baxter,55.75
Alan Beckles,84.0
Alan Beckworth,67.0
Alan Bilzerian,66.0
Alan Blumenfeld,52.0
Alan Boell,55.0
Alan Boyce,53.0
Alan Breck,51.0
Alan Caillou,41.0
Alan Campbell,52.0
Alan Chappuis,48.0
Alan Charof,43.0
Alan Chu,76.0
Alan Ciangherotti,43.0
Alan Coates,56.0
Alan Cooke,18.0
Alan Cox,50.333333333333336
Alan Coyne,56.0
Alan Cumming,51.03703703703704
Alan D'Antoni,30.0
Alan D. Purwin,44.0
Alan Dale,43.333333333333336
Alan David,69.0
Alan Davidson,54.0
